,precision,recall,f1-score,support
Adho Mukha Svanasana,0.5882352941176471,0.6220095693779905,0.6046511627906976,209.0
Adho Mukha Vrksasana,0.6333333333333333,0.5428571428571428,0.5846153846153846,210.0
Alanasana,0.5747663551401869,0.5857142857142857,0.5801886792452831,210.0
Anjaneyasana,0.6551724137931034,0.5428571428571428,0.59375,210.0
Ardha Chandrasana,0.8111888111888111,0.5523809523809524,0.6572237960339944,210.0
Ardha Matsyendrasana,0.6954314720812182,0.7025641025641025,0.6989795918367347,195.0
Ardha Navasana,0.6118421052631579,0.7045454545454546,0.6549295774647887,132.0
Ardha Pincha Mayurasana,0.6205128205128205,0.6142131979695431,0.6173469387755102,197.0
Ashta Chandrasana,0.7124183006535948,0.68125,0.6964856230031949,160.0
Baddha Konasana,0.6965174129353234,0.717948717948718,0.7070707070707071,195.0
Bakasana,0.7833333333333333,0.6714285714285714,0.7230769230769231,210.0
Balasana,0.6101694915254238,0.7093596059113301,0.6560364464692483,203.0
Bitilasana,0.6776859504132231,0.49696969696969695,0.5734265734265734,165.0
Camatkarasana,0.6604938271604939,0.6407185628742516,0.6504559270516718,167.0
Dhanurasana,0.5683760683760684,0.7,0.6273584905660378,190.0
Eka Pada Rajakapotasana,0.5948717948717949,0.5523809523809524,0.5728395061728395,210.0
Garudasana,0.7206703910614525,0.6142857142857143,0.6632390745501285,210.0
Halasana,0.6318181818181818,0.695,0.6619047619047619,200.0
Hanumanasana,0.6772151898734177,0.601123595505618,0.6369047619047619,178.0
Malasana,0.6744186046511628,0.725,0.6987951807228916,200.0
Marjaryasana,0.5458937198067633,0.7793103448275862,0.6420454545454546,145.0
Navasana,0.6052631578947368,0.5082872928176796,0.5525525525525525,181.0
Padmasana,0.7368421052631579,0.693069306930693,0.7142857142857143,202.0
Parsva Virabhadrasana,0.5369127516778524,0.45454545454545453,0.49230769230769234,176.0
Parsvottanasana,0.727810650887574,0.5857142857142857,0.6490765171503958,210.0
Paschimottanasana,0.5943775100401606,0.7047619047619048,0.644880174291939,210.0
Phalakasana,0.6244343891402715,0.7624309392265194,0.6865671641791045,181.0
Pincha Mayurasana,0.6009389671361502,0.6095238095238096,0.6052009456264775,210.0
Salamba Bhujangasana,0.6486486486486487,0.6741573033707865,0.6611570247933884,178.0
Salamba Sarvangasana,0.7796610169491526,0.7976878612716763,0.7885714285714286,173.0
Setu Bandha Sarvangasana,0.5935828877005348,0.6894409937888198,0.6379310344827587,161.0
Sivasana,0.6379310344827587,0.8361581920903954,0.7237163814180929,177.0
Supta Kapotasana,0.7046979865771812,0.5,0.584958217270195,210.0
Trikonasana,0.7848837209302325,0.6428571428571429,0.7068062827225131,210.0
Upavistha Konasana,0.5714285714285714,0.7246376811594203,0.6389776357827476,138.0
Urdhva Dhanurasana,0.6528497409326425,0.6,0.6253101736972705,210.0
Urdhva Mukha Svsnssana,0.5806451612903226,0.5538461538461539,0.5669291338582677,195.0
Ustrasana,0.8313253012048193,0.6571428571428571,0.7340425531914894,210.0
Utkatasana,0.6487804878048781,0.6333333333333333,0.6409638554216868,210.0
Uttanasana,0.7705882352941177,0.6238095238095238,0.6894736842105263,210.0
Utthita Hasta Padangusthasana,0.7604166666666666,0.6952380952380952,0.7263681592039801,210.0
Utthita Parsvakonasana,0.5612244897959183,0.7857142857142857,0.6547619047619048,210.0
Vasisthasana,0.5714285714285714,0.7317073170731707,0.6417112299465241,164.0
Virabhadrasana One,0.5714285714285714,0.48554913294797686,0.525,173.0
Virabhadrasana Three,0.5027027027027027,0.7209302325581395,0.5923566878980892,129.0
Virabhadrasana Two,0.5770750988142292,0.6952380952380952,0.6306695464362851,210.0
Vrksasana,0.5631067961165048,0.5523809523809524,0.5576923076923077,210.0
accuracy,0.643128067826863,0.643128067826863,0.643128067826863,0.643128067826863
macro avg,0.6485819168967542,0.6461719097391537,0.6419913311272535,8964.0
weighted avg,0.6521999224929655,0.643128067826863,0.6424467892882555,8964.0
