class_name,image_count
Adho Mukha Vrksasana,1400
Alanasana,1400
Anjaneyasana,1400
Ardha Chandrasana,1400
Bakasana,1400
Utthita Hasta Padangusthasana,1400
Uttanasana,1400
Virabhadrasana Two,1400
Vrksasana,1400
Ustrasana,1400
Pincha Mayurasana,1400
Parsvottanasana,1400
Paschimottanasana,1400
Garudasana,1400
Eka Pada Rajakapotasana,1400
Urdhva Dhanurasana,1400
Supta Kapotasana,1400
Utthita Parsvakonasana,1400
Utkatasana,1400
Trikonasana,1400
Adho Mukha Svanasana,1393
Balasana,1358
Padmasana,1351
Halasana,1337
Malasana,1337
Ardha Pincha Mayurasana,1309
Urdhva Mukha Svsnssana,1302
Ardha Matsyendrasana,1302
Baddha Konasana,1295
Dhanurasana,1267
Navasana,1204
Phalakasana,1204
Salamba Bhujangasana,1190
Hanumanasana,1183
Sivasana,1176
Parsva Virabhadrasana,1169
Virabhadrasana One,1155
Salamba Sarvangasana,1155
Camatkarasana,1113
Bitilasana,1099
Vasisthasana,1092
Setu Bandha Sarvangasana,1071
Ashta Chandrasana,1064
Marjaryasana,966
Upavistha Konasana,924
Ardha Navasana,882
Virabhadrasana Three,861
