,precision,recall,f1-score,support
Adho Mukha Svanasana,0.9714285714285714,0.9760765550239234,0.9737470167064439,209.0
Adho Mukha Vrksasana,0.8672985781990521,0.8714285714285714,0.8693586698337292,210.0
Alanasana,0.9565217391304348,0.9428571428571428,0.9496402877697842,210.0
Anjaneyasana,0.9747474747474747,0.919047619047619,0.946078431372549,210.0
Ardha Chandrasana,0.9808612440191388,0.9761904761904762,0.9785202863961814,210.0
Ardha Matsyendrasana,0.9744897959183674,0.9794871794871794,0.9769820971867008,195.0
Ardha Navasana,0.8671328671328671,0.9393939393939394,0.9018181818181819,132.0
Ardha Pincha Mayurasana,0.9296482412060302,0.9390862944162437,0.9343434343434344,197.0
Ashta Chandrasana,0.9503105590062112,0.95625,0.9532710280373832,160.0
Baddha Konasana,0.9695431472081218,0.9794871794871794,0.9744897959183674,195.0
Bakasana,0.958139534883721,0.9809523809523809,0.9694117647058823,210.0
Balasana,0.9065420560747663,0.9556650246305419,0.9304556354916067,203.0
Bitilasana,0.901840490797546,0.8909090909090909,0.8963414634146342,165.0
Camatkarasana,0.9757575757575757,0.9640718562874252,0.9698795180722891,167.0
Dhanurasana,0.8974358974358975,0.9210526315789473,0.9090909090909091,190.0
Eka Pada Rajakapotasana,0.966824644549763,0.9714285714285714,0.9691211401425178,210.0
Garudasana,0.9714285714285714,0.9714285714285714,0.9714285714285714,210.0
Halasana,0.9844559585492227,0.95,0.9669211195928753,200.0
Hanumanasana,0.9553072625698324,0.9606741573033708,0.957983193277311,178.0
Malasana,0.975,0.975,0.975,200.0
Marjaryasana,0.9,0.9310344827586207,0.9152542372881356,145.0
Navasana,0.9583333333333334,0.8895027624309392,0.9226361031518625,181.0
Padmasana,0.9852216748768473,0.9900990099009901,0.9876543209876543,202.0
Parsva Virabhadrasana,0.8186813186813187,0.8465909090909091,0.8324022346368715,176.0
Parsvottanasana,0.9534883720930233,0.9761904761904762,0.9647058823529412,210.0
Paschimottanasana,0.9441860465116279,0.9666666666666667,0.9552941176470588,210.0
Phalakasana,0.9833333333333333,0.9779005524861878,0.9806094182825484,181.0
Pincha Mayurasana,0.9018691588785047,0.919047619047619,0.910377358490566,210.0
Salamba Bhujangasana,0.9882352941176471,0.9438202247191011,0.9655172413793104,178.0
Salamba Sarvangasana,0.9657142857142857,0.976878612716763,0.9712643678160919,173.0
Setu Bandha Sarvangasana,0.9512195121951219,0.968944099378882,0.96,161.0
Sivasana,0.9553072625698324,0.9661016949152542,0.9606741573033708,177.0
Supta Kapotasana,0.9753694581280788,0.9428571428571428,0.9588377723970944,210.0
Trikonasana,0.9807692307692307,0.9714285714285714,0.9760765550239234,210.0
Upavistha Konasana,0.9115646258503401,0.9710144927536232,0.9403508771929825,138.0
Urdhva Dhanurasana,0.949748743718593,0.9,0.9242053789731052,210.0
Urdhva Mukha Svsnssana,0.975,1.0,0.9873417721518988,195.0
Ustrasana,0.9855072463768116,0.9714285714285714,0.9784172661870504,210.0
Utkatasana,0.9620853080568721,0.9666666666666667,0.9643705463182898,210.0
Uttanasana,0.9850746268656716,0.9428571428571428,0.9635036496350365,210.0
Utthita Hasta Padangusthasana,0.9846938775510204,0.919047619047619,0.9507389162561576,210.0
Utthita Parsvakonasana,0.9534883720930233,0.9761904761904762,0.9647058823529412,210.0
Vasisthasana,0.9421965317919075,0.9939024390243902,0.9673590504451038,164.0
Virabhadrasana One,0.8693181818181818,0.884393063583815,0.8767908309455588,173.0
Virabhadrasana Three,0.9083969465648855,0.9224806201550387,0.9153846153846154,129.0
Virabhadrasana Two,0.916256157635468,0.8857142857142857,0.9007263922518159,210.0
Vrksasana,0.8817733990147784,0.8523809523809524,0.8668280871670703,210.0
accuracy,0.9464524765729585,0.9464524765729585,0.9464524765729585,0.9464524765729585
macro avg,0.9451392874166575,0.9462473701328059,0.9454448846089024,8964.0
weighted avg,0.9469876705659912,0.9464524765729585,0.946482377068004,8964.0
