,precision,recall,f1-score,support
Adho Mukha Svanasana,0.9665071770334929,0.9665071770334929,0.9665071770334929,209.0
Adho Mukha Vrksasana,0.8910891089108911,0.8571428571428571,0.8737864077669902,210.0
Alanasana,0.9748743718592965,0.9238095238095239,0.9486552567237164,210.0
Anjaneyasana,0.975609756097561,0.9523809523809523,0.963855421686747,210.0
Ardha Chandrasana,0.9857142857142858,0.9857142857142858,0.9857142857142858,210.0
Ardha Matsyendrasana,0.965,0.9897435897435898,0.9772151898734177,195.0
Ardha Navasana,0.896551724137931,0.9848484848484849,0.9386281588447654,132.0
Ardha Pincha Mayurasana,0.9047619047619048,0.9644670050761421,0.9336609336609336,197.0
Ashta Chandrasana,0.9454545454545454,0.975,0.96,160.0
Baddha Konasana,0.9689119170984456,0.958974358974359,0.9639175257731959,195.0
Bakasana,0.9764150943396226,0.9857142857142858,0.981042654028436,210.0
Balasana,0.9560975609756097,0.9655172413793104,0.9607843137254902,203.0
Bitilasana,0.9551282051282052,0.9030303030303031,0.9283489096573209,165.0
Camatkarasana,0.9636363636363636,0.9520958083832335,0.9578313253012049,167.0
Dhanurasana,0.9319371727748691,0.9368421052631579,0.9343832020997376,190.0
Eka Pada Rajakapotasana,0.9855072463768116,0.9714285714285714,0.9784172661870504,210.0
Garudasana,0.9950980392156863,0.9666666666666667,0.9806763285024155,210.0
Halasana,0.98989898989899,0.98,0.9849246231155779,200.0
Hanumanasana,0.9722222222222222,0.9831460674157303,0.9776536312849162,178.0
Malasana,0.9797979797979798,0.97,0.9748743718592965,200.0
Marjaryasana,0.910828025477707,0.9862068965517241,0.9470198675496688,145.0
Navasana,0.9252873563218391,0.8895027624309392,0.9070422535211268,181.0
Padmasana,0.9663461538461539,0.995049504950495,0.9804878048780488,202.0
Parsva Virabhadrasana,0.8734939759036144,0.8238636363636364,0.847953216374269,176.0
Parsvottanasana,0.9311926605504587,0.9666666666666667,0.9485981308411215,210.0
Paschimottanasana,0.9622641509433962,0.9714285714285714,0.966824644549763,210.0
Phalakasana,0.9826589595375722,0.9392265193370166,0.96045197740113,181.0
Pincha Mayurasana,0.964824120603015,0.9142857142857143,0.9388753056234719,210.0
Salamba Bhujangasana,0.9717514124293786,0.9662921348314607,0.9690140845070423,178.0
Salamba Sarvangasana,0.9553072625698324,0.9884393063583815,0.9715909090909091,173.0
Setu Bandha Sarvangasana,0.9873417721518988,0.968944099378882,0.9780564263322884,161.0
Sivasana,0.9664804469273743,0.9774011299435028,0.9719101123595506,177.0
Supta Kapotasana,0.9757281553398058,0.9571428571428572,0.9663461538461539,210.0
Trikonasana,0.9808612440191388,0.9761904761904762,0.9785202863961814,210.0
Upavistha Konasana,0.9568345323741008,0.9637681159420289,0.9602888086642599,138.0
Urdhva Dhanurasana,0.946078431372549,0.919047619047619,0.9323671497584541,210.0
Urdhva Mukha Svsnssana,0.9846938775510204,0.9897435897435898,0.9872122762148338,195.0
Ustrasana,0.9903381642512077,0.9761904761904762,0.9832134292565947,210.0
Utkatasana,0.9481132075471698,0.9571428571428572,0.95260663507109,210.0
Uttanasana,0.9624413145539906,0.9761904761904762,0.9692671394799054,210.0
Utthita Hasta Padangusthasana,0.9853658536585366,0.9619047619047619,0.9734939759036144,210.0
Utthita Parsvakonasana,0.9532710280373832,0.9714285714285714,0.9622641509433962,210.0
Vasisthasana,0.9470588235294117,0.9817073170731707,0.9640718562874252,164.0
Virabhadrasana One,0.9005524861878453,0.9421965317919075,0.9209039548022598,173.0
Virabhadrasana Three,0.8872180451127819,0.9147286821705426,0.9007633587786259,129.0
Virabhadrasana Two,0.926829268292683,0.9047619047619048,0.9156626506024096,210.0
Vrksasana,0.8657407407407407,0.8904761904761904,0.8779342723004695,210.0
accuracy,0.9540383757251227,0.9540383757251227,0.9540383757251227,0.9540383757251227
macro avg,0.9529598964950069,0.9541054607176461,0.9532684641313417,8964.0
weighted avg,0.9543869407801538,0.9540383757251227,0.9539706085741491,8964.0
